 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    4.35322408794477     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.58565783876E-002        0.51530402604E+000        0.90163493645E-003        0.51440239111E+000        0.51531136392E+000        0.73378729360E-005
        0.59291049833E-002        0.52715189650E+000        0.92234561573E-003        0.52622955089E+000        0.52715941724E+000        0.75207397504E-005
        0.60020778964E-002        0.53918475427E+000        0.94337886880E-003        0.53824137540E+000        0.53919246127E+000        0.77070033754E-005
        0.60754971271E-002        0.55140388585E+000        0.96473691116E-003        0.55043914894E+000        0.55141178255E+000        0.78967056178E-005
        0.61493626753E-002        0.56381056510E+000        0.98642193551E-003        0.56282414316E+000        0.56381865499E+000        0.80898885399E-005
        0.62236745410E-002        0.57640605295E+000        0.10084361112E-002        0.57539761684E+000        0.57641433954E+000        0.82865944599E-005
        0.62984327242E-002        0.58919159718E+000        0.10307815840E-002        0.58816081559E+000        0.58920008404E+000        0.84868659518E-005
        0.63736372249E-002        0.60216843215E+000        0.10534604754E-002        0.60111497167E+000        0.60217712290E+000        0.86907458451E-005
        0.64492880431E-002        0.61533777858E+000        0.10764748824E-002        0.61426130370E+000        0.61534667686E+000        0.88982772251E-005
        0.65253851788E-002        0.62870084329E+000        0.10998268768E-002        0.62760101641E+000        0.62870995279E+000        0.91095034328E-005
        0.66019286321E-002        0.64225881896E+000        0.11235185053E-002        0.64113530045E+000        0.64226814343E+000        0.93244680651E-005
        0.66789184028E-002        0.65601288391E+000        0.11475517884E-002        0.65486533212E+000        0.65602242712E+000        0.95432149744E-005
        0.67563544911E-002        0.66996420183E+000        0.11719287206E-002        0.66879227311E+000        0.66997396762E+000        0.97657882689E-005
        0.68342368969E-002        0.68411392160E+000        0.11966512695E-002        0.68291727033E+000        0.68412391384E+000        0.99922323125E-005
        0.69125656202E-002        0.69846317700E+000        0.12217213758E-002        0.69724145562E+000        0.69847339959E+000        0.10222591725E-004
        0.69913406610E-002        0.71301308649E+000        0.12471409526E-002        0.71176594554E+000        0.71302354340E+000        0.10456911381E-004
        0.70705620193E-002        0.72776475303E+000        0.12729118853E-002        0.72649184114E+000        0.72777544826E+000        0.10695236413E-004
        0.71502296951E-002        0.74271926379E+000        0.12990360306E-002        0.74142022776E+000        0.74273020140E+000        0.10937612207E-004
        0.72303436884E-002        0.75787768998E+000        0.13255152170E-002        0.75655217476E+000        0.75788887406E+000        0.11184084405E-004
        0.73109039993E-002        0.77324108658E+000        0.13523512435E-002        0.77188873534E+000        0.77325252128E+000        0.11434698907E-004
        0.73919106277E-002        0.78881049217E+000        0.13795458801E-002        0.78743094629E+000        0.78882218167E+000        0.11689501865E-004
        0.74733635735E-002        0.80458692866E+000        0.14071008666E-002        0.80317982779E+000        0.80459887720E+000        0.11948539689E-004
        0.75552628369E-002        0.82057140113E+000        0.14350179127E-002        0.81913638322E+000        0.82058361299E+000        0.12211859046E-004
        0.76376084178E-002        0.83676489757E+000        0.14632986976E-002        0.83530159888E+000        0.83677737708E+000        0.12479506856E-004
        0.77204003162E-002        0.85316838871E+000        0.14919448695E-002        0.85167644384E+000        0.85318114024E+000        0.12751530296E-004
