# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
5300 100
92 9.68394 1.00565 231.813
93 9.78977 1.00656 239.541
94 9.89561 1.0043 247.42
95 10.0014 1.00741 255.492
96 10.1073 1.0109 263.765
97 10.2131 1.00478 272.162
98 10.319 0.997493 280.67
99 10.4248 1.00644 289.433
100 10.5306 0.997729 298.296
5800 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.00260601 0.000562
17 1.74628 0.00635922 0.002116
18 1.85212 0.0448635 0.014448
19 1.95795 0.170244 0.066744
20 2.06379 0.381399 0.196908
21 2.16963 0.722285 0.469334
22 2.27546 1.05893 0.90864
23 2.3813 1.36899 1.53063
24 2.48713 1.64283 2.34485
25 2.59297 1.66302 3.2407
26 2.6988 1.69584 4.23032
27 2.80464 1.6277 5.25612
28 2.91047 1.49524 6.2709
29 3.01631 1.29795 7.217
30 3.12214 1.18853 8.1452
31 3.22798 1.07903 9.04598
32 3.33382 0.992226 9.9295
33 3.43965 0.903167 10.7856
34 3.54549 0.836281 11.6278
35 3.65132 0.812347 12.4955
36 3.75716 0.781454 13.3792
37 3.86299 0.780453 14.3123
38 3.96883 0.796048 15.3168
39 4.07466 0.821451 16.4095
40 4.1805 0.834376 17.5777
41 4.28633 0.89093 18.889
42 4.39217 0.931424 20.3285
43 4.498 0.987432 21.929
44 4.60384 1.02019 23.6613
45 4.70968 1.04956 25.5264
46 4.81551 1.08956 27.5505
47 4.92135 1.11121 29.7066
48 5.02718 1.09551 31.9246
49 5.13302 1.10293 34.2527
50 5.23885 1.09527 36.6609
51 5.34469 1.06185 39.0909
52 5.45052 1.05646 41.6053
53 5.55636 1.03271 44.1595
54 5.66219 1.00941 46.7521
55 5.76803 0.996922 49.4092
56 5.87386 0.98772 52.1393
57 5.9797 0.958566 54.8851
58 6.08554 0.95973 57.7325
59 6.19137 0.951212 60.6536
60 6.29721 0.952891 63.6807
61 6.40304 0.953349 66.812
62 6.50888 0.967994 70.0973
63 6.61471 0.973342 73.5091
64 6.72055 0.982589 77.0644
65 6.82638 0.982335 80.7316
66 6.93222 0.999588 84.5798
67 7.03805 1.0091 88.5842
68 7.14389 1.00486 92.6925
69 7.24972 1.03158 97.036
70 7.35556 1.02181 101.465
71 7.4614 1.01969 106.013
72 7.56723 1.02381 110.709
73 7.67307 1.01445 115.494
74 7.7789 1.01459 120.412
75 7.88474 1.02135 125.499
76 7.99057 1.00915 130.661
77 8.09641 0.989799 135.859
78 8.20224 0.99806 141.238
79 8.30808 0.997903 146.756
80 8.41391 0.993203 152.389
81 8.51975 0.991326 158.153
82 8.62559 0.986879 164.035
83 8.73142 0.99648 170.121
84 8.83726 0.985862 176.289
85 8.94309 0.987559 182.617
86 9.04893 0.992145 189.125
