 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.31556914295421     
 #
 # screening length =   1.15966433863224     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.10382984532E+001        0.63712725580E+001       -0.95872795242E+001
        0.10419544337E+001        0.63363507678E+001       -0.95161897535E+001
        0.10456104141E+001        0.63016896356E+001       -0.94458351808E+001
        0.10492663946E+001        0.62672823025E+001       -0.93762056214E+001
        0.10529223751E+001        0.62331302967E+001       -0.93072910632E+001
        0.10565783555E+001        0.61992268906E+001       -0.92390816775E+001
        0.10602343360E+001        0.61655736269E+001       -0.91715677702E+001
        0.10638903165E+001        0.61321639055E+001       -0.91047398491E+001
        0.10675462970E+001        0.60989992825E+001       -0.90385886010E+001
        0.10712022774E+001        0.60660732815E+001       -0.89731048161E+001
        0.10748582579E+001        0.60333874708E+001       -0.89082794840E+001
        0.10785142384E+001        0.60009354946E+001       -0.88441037570E+001
        0.10821702188E+001        0.59687189316E+001       -0.87805688910E+001
        0.10858261993E+001        0.59367315436E+001       -0.87176663471E+001
        0.10894821798E+001        0.59049749188E+001       -0.86553876769E+001
        0.10931381602E+001        0.58734429332E+001       -0.85937246200E+001
        0.10967941407E+001        0.58421371834E+001       -0.85326690382E+001
        0.11004501212E+001        0.58110516564E+001       -0.84722129066E+001
        0.11041061016E+001        0.57801879566E+001       -0.84123483647E+001
        0.11077620821E+001        0.57495401788E+001       -0.83530676778E+001
        0.11114180626E+001        0.57191099341E+001       -0.82943632268E+001
        0.11150740430E+001        0.56888914224E+001       -0.82362275267E+001
        0.11187300235E+001        0.56588862607E+001       -0.81786532278E+001
        0.11223860040E+001        0.56290887508E+001       -0.81216330562E+001
        0.11260419845E+001        0.55995005153E+001       -0.80651599138E+001
        0.11296979649E+001        0.55701159553E+001       -0.80092268059E+001
        0.11333539454E+001        0.55409366974E+001       -0.79538267941E+001
        0.11370099259E+001        0.55119572400E+001       -0.78989531429E+001
        0.11406659063E+001        0.54831792129E+001       -0.78445991569E+001
        0.11443218868E+001        0.54545972091E+001       -0.77907582651E+001
        0.11479778673E+001        0.54262128613E+001       -0.77374240244E+001
        0.11516338477E+001        0.53980208543E+001       -0.76845900809E+001
        0.11552898282E+001        0.53700228230E+001       -0.76322501579E+001
        0.11589458087E+001        0.53422135420E+001       -0.75803981130E+001
        0.11626017891E+001        0.53145946475E+001       -0.75290278993E+001
        0.11662577696E+001        0.52871610015E+001       -0.74781335265E+001
        0.11699137501E+001        0.52599142414E+001       -0.74277091502E+001
        0.11735697306E+001        0.52328493141E+001       -0.73777489847E+001
        0.11772257110E+001        0.52059678574E+001       -0.73282473486E+001
        0.11808816915E+001        0.51792649014E+001       -0.72791986197E+001
        0.11845376720E+001        0.51527420838E+001       -0.72305973221E+001
        0.11881936524E+001        0.51263945153E+001       -0.71824380237E+001
        0.11918496329E+001        0.51002238332E+001       -0.71347153377E+001
        0.11955056134E+001        0.50742252277E+001       -0.70874240670E+001
        0.11991615938E+001        0.50484003341E+001       -0.70405589963E+001
        0.12028175743E+001        0.50227444201E+001       -0.69941150198E+001
        0.12064735548E+001        0.49972591197E+001       -0.69480871446E+001
        0.12101295352E+001        0.49719397754E+001       -0.69024703823E+001
        0.12137855157E+001        0.49467880196E+001       -0.68572599031E+001
        0.12174414962E+001        0.49217992679E+001       -0.68124508856E+001
        0.12210974766E+001        0.48969751504E+001       -0.67680385856E+001
        0.12247534571E+001        0.48723111547E+001       -0.67240183976E+001
        0.12284094376E+001        0.48478089077E+001       -0.66803856768E+001
        0.12320654181E+001        0.48234639674E+001       -0.66371359402E+001
        0.12357213985E+001        0.47992779574E+001       -0.65942647394E+001
        0.12393773790E+001        0.47752465040E+001       -0.65517676638E+001
        0.12430333595E+001        0.47513712274E+001       -0.65096403989E+001
        0.12466893399E+001        0.47276478210E+001       -0.64678787029E+001
        0.12503453204E+001        0.47040779009E+001       -0.64264783691E+001
        0.12540013009E+001        0.46806572258E+001       -0.63854352527E+001
        0.12576572813E+001        0.46573874079E+001       -0.63447452874E+001
        0.12613132618E+001        0.46342642697E+001       -0.63044044660E+001
        0.12649692423E+001        0.46112894189E+001       -0.62644088186E+001
        0.12686252227E+001        0.45884587404E+001       -0.62247544342E+001
        0.12722812032E+001        0.45657738375E+001       -0.61854374965E+001
        0.12759371837E+001        0.45432306558E+001       -0.61464541886E+001
        0.12795931642E+001        0.45208307940E+001       -0.61078007771E+001
        0.12832491446E+001        0.44985702570E+001       -0.60694735989E+001
        0.12869051251E+001        0.44764506386E+001       -0.60314689823E+001
        0.12905611056E+001        0.44544680023E+001       -0.59937833899E+001
        0.12942170860E+001        0.44326239360E+001       -0.59564132660E+001
        0.12978730665E+001        0.44109145607E+001       -0.59193551287E+001
        0.13015290470E+001        0.43893414587E+001       -0.58826055610E+001
        0.13051850274E+001        0.43679008066E+001       -0.58461611519E+001
        0.13088410079E+001        0.43465941813E+001       -0.58100185886E+001
        0.13124969884E+001        0.43254178137E+001       -0.57741745727E+001
        0.13161529688E+001        0.43043732752E+001       -0.57386258420E+001
        0.13198089493E+001        0.42834568499E+001       -0.57033692057E+001
        0.13234649298E+001        0.42626701031E+001       -0.56684015163E+001
        0.13271209102E+001        0.42420093713E+001       -0.56337196290E+001
        0.13307768907E+001        0.42214762138E+001       -0.55993204933E+001
        0.13344328712E+001        0.42010670180E+001       -0.55652010748E+001
        0.13380888517E+001        0.41807833370E+001       -0.55313583739E+001
        0.13417448321E+001        0.41606216084E+001       -0.54977894373E+001
        0.13454008126E+001        0.41405833789E+001       -0.54644913666E+001
        0.13490567931E+001        0.41206651350E+001       -0.54314612842E+001
        0.13527127735E+001        0.41008684168E+001       -0.53986963480E+001
        0.13563687540E+001        0.40811897591E+001       -0.53661937706E+001
        0.13600247345E+001        0.40616306952E+001       -0.53339507815E+001
        0.13636807149E+001        0.40421878070E+001       -0.53019646777E+001
        0.13673366954E+001        0.40228626211E+001       -0.52702327485E+001
        0.13709926759E+001        0.40036517653E+001       -0.52387523452E+001
        0.13746486563E+001        0.39845567596E+001       -0.52075208737E+001
        0.13783046368E+001        0.39655742769E+001       -0.51765357210E+001
        0.13819606173E+001        0.39467058301E+001       -0.51457943465E+001
        0.13856165978E+001        0.39279481366E+001       -0.51152942479E+001
        0.13892725782E+001        0.39093027022E+001       -0.50850329179E+001
        0.13929285587E+001        0.38907662876E+001       -0.50550079182E+001
        0.13965845392E+001        0.38723403917E+001       -0.50252168237E+001
        0.14002405196E+001        0.38540218176E+001       -0.49956572470E+001
        0.14038965001E+001        0.38358120569E+001       -0.49663268225E+001
        0.14075524806E+001        0.38177079547E+001       -0.49372232307E+001
        0.14112084610E+001        0.37997109952E+001       -0.49083441589E+001
        0.14148644415E+001        0.37818180644E+001       -0.48796873477E+001
        0.14185204220E+001        0.37640306393E+001       -0.48512505500E+001
        0.14221764024E+001        0.37463456459E+001       -0.48230315501E+001
        0.14258323829E+001        0.37287645539E+001       -0.47950281617E+001
        0.14294883634E+001        0.37112843287E+001       -0.47672382335E+001
        0.14331443439E+001        0.36939064325E+001       -0.47396596268E+001
        0.14368003243E+001        0.36766278692E+001       -0.47122902376E+001
        0.14404563048E+001        0.36594500939E+001       -0.46851279897E+001
        0.14441122853E+001        0.36423701481E+001       -0.46581708110E+001
        0.14477682657E+001        0.36253894795E+001       -0.46314167067E+001
        0.14514242462E+001        0.36085051667E+001       -0.46048636533E+001
        0.14550802267E+001        0.35917186500E+001       -0.45785096657E+001
        0.14587362071E+001        0.35750270444E+001       -0.45523528079E+001
        0.14623921876E+001        0.35584317827E+001       -0.45263911267E+001
        0.14660481681E+001        0.35419300156E+001       -0.45006227352E+001
        0.14697041485E+001        0.35255231683E+001       -0.44750457559E+001
        0.14733601290E+001        0.35092084267E+001       -0.44496582849E+001
        0.14770161095E+001        0.34929872087E+001       -0.44244585256E+001
        0.14806720899E+001        0.34768567341E+001       -0.43994446549E+001
        0.14843280704E+001        0.34608184137E+001       -0.43746148598E+001
        0.14879840509E+001        0.34448695010E+001       -0.43499673820E+001
        0.14916400314E+001        0.34290113990E+001       -0.43255004591E+001
        0.14952960118E+001        0.34132413946E+001       -0.43012123730E+001
        0.14989519923E+001        0.33975608833E+001       -0.42771014009E+001
        0.15026079728E+001        0.33819671845E+001       -0.42531658535E+001
        0.15062639532E+001        0.33664616861E+001       -0.42294040667E+001
        0.15099199337E+001        0.33510417396E+001       -0.42058143918E+001
        0.15135759142E+001        0.33357087251E+001       -0.41823951809E+001
        0.15172318946E+001        0.33204600257E+001       -0.41591448415E+001
        0.15208878751E+001        0.33052970140E+001       -0.41360617851E+001
        0.15245438556E+001        0.32902171037E+001       -0.41131444300E+001
        0.15281998360E+001        0.32752216600E+001       -0.40903912466E+001
        0.15318558165E+001        0.32603081268E+001       -0.40678008988E+001
        0.15355117970E+001        0.32454778600E+001       -0.40453715072E+001
        0.15391677775E+001        0.32307283361E+001       -0.40231014650E+001
