   r/R       V       Vcoul       Vexc       Vkin       Vinh       rV         ne        y        dNe    dNe(free) dNe(bound)    eta    n0*Ine
5.6644e-02 1.362e+03 1.285e+03 7.724e+01 +1.357e+03 +1.197e+01 8.018e+00 2.272e+32 1.354e+05 2.304e+11 5.241e+06 +2.304e+11 1.357e+03 1.000e+00 
5.7600e-02 1.331e+03 1.255e+03 7.630e+01 +1.327e+03 +1.147e+01 7.963e+00 2.196e+32 1.354e+05 2.303e+11 8.603e+06 +2.303e+11 1.327e+03 1.000e+00 
5.8564e-02 1.301e+03 1.226e+03 7.537e+01 +1.297e+03 +1.100e+01 7.908e+00 2.123e+32 1.353e+05 2.301e+11 1.380e+07 +2.301e+11 1.297e+03 1.000e+00 
5.9536e-02 1.272e+03 1.198e+03 7.445e+01 +1.269e+03 +1.054e+01 7.853e+00 2.052e+32 1.353e+05 2.300e+11 2.161e+07 +2.299e+11 1.269e+03 1.000e+00 
6.0516e-02 1.244e+03 1.170e+03 7.355e+01 +1.240e+03 +1.011e+01 7.799e+00 1.985e+32 1.352e+05 2.298e+11 3.308e+07 +2.297e+11 1.240e+03 1.000e+00 
6.1504e-02 1.216e+03 1.143e+03 7.267e+01 +1.213e+03 +9.691e+00 7.744e+00 1.919e+32 1.352e+05 2.295e+11 4.941e+07 +2.295e+11 1.213e+03 1.000e+00 
6.2500e-02 1.189e+03 1.117e+03 7.179e+01 +1.187e+03 +9.291e+00 7.690e+00 1.857e+32 1.351e+05 2.293e+11 7.197e+07 +2.292e+11 1.187e+03 1.000e+00 
6.3504e-02 1.163e+03 1.092e+03 7.093e+01 +1.161e+03 +8.907e+00 7.636e+00 1.796e+32 1.350e+05 2.290e+11 1.021e+08 +2.289e+11 1.161e+03 1.000e+00 
6.4516e-02 1.137e+03 1.067e+03 7.009e+01 +1.136e+03 +8.539e+00 7.582e+00 1.738e+32 1.349e+05 2.287e+11 1.409e+08 +2.286e+11 1.136e+03 1.000e+00 
6.5536e-02 1.112e+03 1.043e+03 6.925e+01 +1.111e+03 +8.186e+00 7.528e+00 1.682e+32 1.348e+05 2.284e+11 1.889e+08 +2.282e+11 1.111e+03 1.000e+00 
6.6564e-02 1.088e+03 1.019e+03 6.843e+01 +1.087e+03 +7.847e+00 7.474e+00 1.628e+32 1.347e+05 2.280e+11 2.461e+08 +2.278e+11 1.087e+03 1.000e+00 
6.7600e-02 1.064e+03 9.966e+02 6.763e+01 +1.064e+03 +7.522e+00 7.421e+00 1.576e+32 1.346e+05 2.277e+11 3.116e+08 +2.274e+11 1.064e+03 1.000e+00 
6.8644e-02 1.041e+03 9.744e+02 6.683e+01 +1.041e+03 +7.209e+00 7.367e+00 1.526e+32 1.345e+05 2.273e+11 3.842e+08 +2.269e+11 1.041e+03 1.000e+00 
6.9696e-02 1.019e+03 9.528e+02 6.605e+01 +1.019e+03 +6.909e+00 7.314e+00 1.477e+32 1.344e+05 2.269e+11 4.622e+08 +2.264e+11 1.019e+03 1.000e+00 
