 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    2.88446135661227     
 #
 # screening length =  0.962582901574277     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.16285787925E+001        0.55206221429E+001       -0.76515976216E+001
        0.16358818364E+001        0.54650567812E+001       -0.75678597079E+001
        0.16431848803E+001        0.54100826798E+001       -0.74852025035E+001
        0.16504879242E+001        0.53557245186E+001       -0.74036074452E+001
        0.16577909681E+001        0.53019423904E+001       -0.73230564594E+001
        0.16650940120E+001        0.52487606678E+001       -0.72435318163E+001
        0.16723970560E+001        0.51961402666E+001       -0.71650162349E+001
        0.16797000999E+001        0.51441052551E+001       -0.70874927687E+001
        0.16870031438E+001        0.50926173461E+001       -0.70109449057E+001
        0.16943061877E+001        0.50417003068E+001       -0.69353564398E+001
        0.17016092316E+001        0.49913166219E+001       -0.68607115695E+001
        0.17089122755E+001        0.49414897613E+001       -0.67869948065E+001
        0.17162153194E+001        0.48921829572E+001       -0.67141910333E+001
        0.17235183633E+001        0.48434193858E+001       -0.66422854241E+001
        0.17308214073E+001        0.47951630038E+001       -0.65712635129E+001
        0.17381244512E+001        0.47474366972E+001       -0.65011111111E+001
        0.17454274951E+001        0.47002051252E+001       -0.64318143770E+001
        0.17527305390E+001        0.46534908869E+001       -0.63633597107E+001
        0.17600335829E+001        0.46072593233E+001       -0.62957338682E+001
        0.17673366268E+001        0.45615327497E+001       -0.62289238235E+001
        0.17746396707E+001        0.45162771686E+001       -0.61629168839E+001
        0.17819427146E+001        0.44715146155E+001       -0.60977005726E+001
        0.17892457586E+001        0.44272117346E+001       -0.60332627273E+001
        0.17965488025E+001        0.43833902852E+001       -0.59695913873E+001
        0.18038518464E+001        0.43400175346E+001       -0.59066749002E+001
        0.18111548903E+001        0.42971149693E+001       -0.58445017945E+001
        0.18184579342E+001        0.42546504617E+001       -0.57830608896E+001
        0.18257609781E+001        0.42126452296E+001       -0.57223412008E+001
        0.18330640220E+001        0.41710677326E+001       -0.56623319915E+001
        0.18403670659E+001        0.41299389236E+001       -0.56030227215E+001
        0.18476701099E+001        0.40892278331E+001       -0.55444030991E+001
        0.18549731538E+001        0.40489551522E+001       -0.54864629998E+001
        0.18622761977E+001        0.40090904664E+001       -0.54291925491E+001
        0.18695792416E+001        0.39696542089E+001       -0.53725820248E+001
        0.18768822855E+001        0.39306165046E+001       -0.53166219457E+001
        0.18841853294E+001        0.38919975325E+001       -0.52613029792E+001
        0.18914883733E+001        0.38537679420E+001       -0.52066160128E+001
        0.18987914172E+001        0.38159476614E+001       -0.51525520792E+001
        0.19060944612E+001        0.37785078505E+001       -0.50991024300E+001
        0.19133975051E+001        0.37414681903E+001       -0.50462584381E+001
        0.19207005490E+001        0.37048003374E+001       -0.49940116969E+001
        0.19280035929E+001        0.36685237293E+001       -0.49423539145E+001
        0.19353066368E+001        0.36326105056E+001       -0.48912770012E+001
        0.19426096807E+001        0.35970798641E+001       -0.48407729879E+001
        0.19499127246E+001        0.35619044149E+001       -0.47908340876E+001
        0.19572157685E+001        0.35271031193E+001       -0.47414526276E+001
        0.19645188125E+001        0.34926490458E+001       -0.46926211233E+001
        0.19718218564E+001        0.34585609227E+001       -0.46443321842E+001
        0.19791249003E+001        0.34248122648E+001       -0.45965785986E+001
        0.19864279442E+001        0.33914215711E+001       -0.45493532551E+001
        0.19937309881E+001        0.33583627913E+001       -0.45026492060E+001
        0.20010340320E+001        0.33256541986E+001       -0.44564595929E+001
        0.20083370759E+001        0.32932701666E+001       -0.44107777298E+001
        0.20156401198E+001        0.32612287458E+001       -0.43655970005E+001
        0.20229431638E+001        0.32295047234E+001       -0.43209109535E+001
        0.20302462077E+001        0.31981159307E+001       -0.42767132181E+001
        0.20375492516E+001        0.31670375579E+001       -0.42329975638E+001
        0.20448522955E+001        0.31362872208E+001       -0.41897578462E+001
        0.20521553394E+001        0.31058405025E+001       -0.41469880534E+001
        0.20594583833E+001        0.30757148067E+001       -0.41046822478E+001
        0.20667614272E+001        0.30458860999E+001       -0.40628346357E+001
        0.20740644711E+001        0.30163715770E+001       -0.40214394717E+001
        0.20813675151E+001        0.29871475788E+001       -0.39804911647E+001
        0.20886705590E+001        0.29582310944E+001       -0.39399841627E+001
        0.20959736029E+001        0.29295988303E+001       -0.38999130596E+001
        0.21032766468E+001        0.29012675730E+001       -0.38602724937E+001
        0.21105796907E+001        0.28732143857E+001       -0.38210572274E+001
        0.21178827346E+001        0.28454558559E+001       -0.37822620862E+001
        0.21251857785E+001        0.28179693954E+001       -0.37438820012E+001
        0.21324888224E+001        0.27907713953E+001       -0.37059119526E+001
        0.21397918664E+001        0.27638396082E+001       -0.36683470538E+001
        0.21470949103E+001        0.27371902322E+001       -0.36311824382E+001
        0.21543979542E+001        0.27108013526E+001       -0.35944133636E+001
        0.21617009981E+001        0.26846889777E+001       -0.35580351296E+001
        0.21690040420E+001        0.26588315178E+001       -0.35220431432E+001
        0.21763070859E+001        0.26332447946E+001       -0.34864328432E+001
        0.21836101298E+001        0.26079075364E+001       -0.34511997778E+001
        0.21909131737E+001        0.25828353809E+001       -0.34163395349E+001
        0.21982162177E+001        0.25580073673E+001       -0.33818477951E+001
        0.22055192616E+001        0.25334389526E+001       -0.33477202739E+001
        0.22128223055E+001        0.25091094797E+001       -0.33139527931E+001
        0.22201253494E+001        0.24850342280E+001       -0.32805411925E+001
        0.22274283933E+001        0.24611928377E+001       -0.32474814134E+001
        0.22347314372E+001        0.24376004130E+001       -0.32147694320E+001
        0.22420344811E+001        0.24142368850E+001       -0.31824013046E+001
        0.22493375250E+001        0.23911171858E+001       -0.31503731156E+001
        0.22566405690E+001        0.23682215312E+001       -0.31186810556E+001
        0.22639436129E+001        0.23455646836E+001       -0.30873213180E+001
        0.22712466568E+001        0.23231271374E+001       -0.30562901959E+001
        0.22785497007E+001        0.23009234885E+001       -0.30255840069E+001
        0.22858527446E+001        0.22789345037E+001       -0.29951991445E+001
        0.22931557885E+001        0.22571746148E+001       -0.29651320348E+001
        0.23004588324E+001        0.22356248556E+001       -0.29353791822E+001
        0.23077618763E+001        0.22142994963E+001       -0.29059371066E+001
        0.23150649203E+001        0.21931798320E+001       -0.28768024236E+001
        0.23223679642E+001        0.21722799740E+001       -0.28479717489E+001
        0.23296710081E+001        0.21515814734E+001       -0.28194417980E+001
        0.23369740520E+001        0.21310982846E+001       -0.27912092907E+001
        0.23442770959E+001        0.21108122093E+001       -0.27632710292E+001
        0.23515801398E+001        0.20907370482E+001       -0.27356238366E+001
        0.23588831837E+001        0.20708548481E+001       -0.27082646084E+001
        0.23661862276E+001        0.20511792578E+001       -0.26811902570E+001
        0.23734892716E+001        0.20316925647E+001       -0.26543977799E+001
        0.23807923155E+001        0.20124082679E+001       -0.26278841745E+001
        0.23880953594E+001        0.19933088904E+001       -0.26016465273E+001
        0.23953984033E+001        0.19744077839E+001       -0.25756819316E+001
        0.24027014472E+001        0.19556877020E+001       -0.25499875635E+001
        0.24100044911E+001        0.19371618513E+001       -0.25245606034E+001
        0.24173075350E+001        0.19188132111E+001       -0.24993983101E+001
        0.24246105789E+001        0.19006548452E+001       -0.24744979610E+001
        0.24319136229E+001        0.18826699540E+001       -0.24498569030E+001
        0.24392166668E+001        0.18648714603E+001       -0.24254724903E+001
        0.24465197107E+001        0.18472427814E+001       -0.24013421611E+001
        0.24538227546E+001        0.18297967008E+001       -0.23774633628E+001
        0.24611257985E+001        0.18125168480E+001       -0.23538336092E+001
        0.24684288424E+001        0.17954158696E+001       -0.23304504351E+001
        0.24757318863E+001        0.17784776029E+001       -0.23073114495E+001
        0.24830349302E+001        0.17617145590E+001       -0.22844142571E+001
        0.24903379742E+001        0.17451107792E+001       -0.22617565578E+001
        0.24976410181E+001        0.17286786407E+001       -0.22393360476E+001
        0.25049440620E+001        0.17124023844E+001       -0.22171504989E+001
        0.25122471059E+001        0.16962942557E+001       -0.21951977000E+001
        0.25195501498E+001        0.16803386905E+001       -0.21734755024E+001
        0.25268531937E+001        0.16645478043E+001       -0.21519817777E+001
        0.25341562376E+001        0.16489062242E+001       -0.21307144638E+001
        0.25414592815E+001        0.16334259369E+001       -0.21096715092E+001
        0.25487623255E+001        0.16180917570E+001       -0.20888509370E+001
        0.25560653694E+001        0.16029155440E+001       -0.20682507769E+001
        0.25633684133E+001        0.15878822960E+001       -0.20478691304E+001
        0.25706714572E+001        0.15730037469E+001       -0.20277041095E+001
        0.25779745011E+001        0.15582650743E+001       -0.20077538929E+001
        0.25852775450E+001        0.15436778881E+001       -0.19880166696E+001
        0.25925805889E+001        0.15292275417E+001       -0.19684906951E+001
        0.25998836328E+001        0.15149255223E+001       -0.19491742341E+001
        0.26071866768E+001        0.15007573556E+001       -0.19300656163E+001
        0.26144897207E+001        0.14867344076E+001       -0.19111631762E+001
        0.26217927646E+001        0.14728423728E+001       -0.18924653131E+001
        0.26290958085E+001        0.14590924970E+001       -0.18739704262E+001
        0.26363988524E+001        0.14454706405E+001       -0.18556769827E+001
        0.26437018963E+001        0.14319879306E+001       -0.18375834452E+001
        0.26510049402E+001        0.14186303896E+001       -0.18196883311E+001
        0.26583079841E+001        0.14054090279E+001       -0.18019901630E+001
        0.26656110281E+001        0.13923100268E+001       -0.17844875069E+001
        0.26729140720E+001        0.13793442815E+001       -0.17671789280E+001
        0.26802171159E+001        0.13664981295E+001       -0.17500630407E+001
        0.26875201598E+001        0.13537823518E+001       -0.17331384375E+001
        0.26948232037E+001        0.13411834397E+001       -0.17164037640E+001
        0.27021262476E+001        0.13287120621E+001       -0.16998576394E+001
        0.27094292915E+001        0.13163548611E+001       -0.16834987207E+001
        0.27167323354E+001        0.13041223957E+001       -0.16673256402E+001
        0.27240353794E+001        0.12920014566E+001       -0.16513370536E+001
        0.27313384233E+001        0.12800024946E+001       -0.16355315855E+001
        0.27386414672E+001        0.12681124474E+001       -0.16199078775E+001
        0.27459445111E+001        0.12563416599E+001       -0.16044645296E+001
        0.27532475550E+001        0.12446772147E+001       -0.15892001486E+001
        0.27605505989E+001        0.12331293537E+001       -0.15741132840E+001
        0.27678536428E+001        0.12216853032E+001       -0.15592024944E+001
        0.27751566867E+001        0.12103552045E+001       -0.15444662648E+001
        0.27824597307E+001        0.11991264267E+001       -0.15299030690E+001
        0.27897627746E+001        0.11880090136E+001       -0.15155113094E+001
        0.27970658185E+001        0.11769904765E+001       -0.15012893609E+001
        0.28043688624E+001        0.11660807652E+001       -0.14872355088E+001
        0.28116719063E+001        0.11552675328E+001       -0.14733480109E+001
        0.28189749502E+001        0.11445606385E+001       -0.14596250177E+001
        0.28262779941E+001        0.11339478778E+001       -0.14460646410E+001
        0.28335810380E+001        0.11234390229E+001       -0.14326648786E+001
        0.28408840820E+001        0.11130220120E+001       -0.14194236646E+001
        0.28481871259E+001        0.11027065352E+001       -0.14063388226E+001
        0.28554901698E+001        0.10924806739E+001       -0.13934081034E+001
        0.28627932137E+001        0.10823540403E+001       -0.13806291324E+001
        0.28700962576E+001        0.10723148604E+001       -0.13679994469E+001
        0.28773993015E+001        0.10623726734E+001       -0.13555164417E+001
        0.28847023454E+001        0.10525158516E+001       -0.13431774321E+001
        0.28920053893E+001        0.10427538658E+001       -0.13309795846E+001
        0.28993084333E+001        0.10330752364E+001       -0.13189199576E+001
        0.29066114772E+001        0.10234893714E+001       -0.13069954150E+001
        0.29139145211E+001        0.10139849419E+001       -0.12952027303E+001
        0.29212175650E+001        0.10045712990E+001       -0.12835385152E+001
        0.29285206089E+001        0.99523726663E+000       -0.12719991434E+001
        0.29358236528E+001        0.98599214609E+000       -0.12605807556E+001
        0.29431266967E+001        0.97682491964E+000       -0.12492793879E+001
        0.29504297406E+001        0.96774484537E+000       -0.12380905382E+001
        0.29577327846E+001        0.95874107164E+000       -0.12270093508E+001
        0.29650358285E+001        0.94982282785E+000       -0.12160304076E+001
        0.29723388724E+001        0.94097944033E+000       -0.12051470180E+001
        0.29796419163E+001        0.93222013806E+000       -0.11943508146E+001
        0.29869449602E+001        0.92353446697E+000       -0.11836275109E+001
        0.29942480041E+001        0.91493176782E+000       -0.11729296981E+001
        0.30015510480E+001        0.90640237399E+000       -0.11622192931E+001
        0.30088540919E+001        0.89795608854E+000       -0.11515330029E+001
        0.30161571359E+001        0.88958280463E+000       -0.11409156992E+001
        0.30234601798E+001        0.88129157496E+000       -0.11303780103E+001
        0.30307632237E+001        0.87307223050E+000       -0.11199246297E+001
        0.30380662676E+001        0.86493366282E+000       -0.11095584516E+001
        0.30453693115E+001        0.85686575246E+000       -0.10992810483E+001
        0.30526723554E+001        0.84887727679E+000       -0.10890933932E+001
        0.30599753993E+001        0.84095819270E+000       -0.10789961145E+001
        0.30672784432E+001        0.83311717846E+000       -0.10689893187E+001
        0.30745814872E+001        0.82534427865E+000       -0.10590730407E+001
