# atomic units
# Peak of g_ii(r) =   1.41
# Effective coupling: Gamma_ii=    27.4
#              r                  (g(i,j),j=i,nspecies, i=1,nspecies)
  2.46112579851E+00    1.27958584929E-05
  2.46842884242E+00    1.47163165214E-05
  2.47573188633E+00    1.69000560566E-05
  2.48303493024E+00    1.93770277707E-05
  2.49033797416E+00    2.21849926071E-05
  2.49764101807E+00    2.53603773138E-05
  2.50494406198E+00    2.89493461192E-05
  2.51224710589E+00    3.29959121189E-05
  2.51955014981E+00    3.75561795870E-05
  2.52685319372E+00    4.26829850919E-05
  2.53415623763E+00    4.84441202111E-05
  2.54145928154E+00    5.49026110532E-05
  2.54876232546E+00    6.21399105640E-05
  2.55606536937E+00    7.02307289298E-05
  2.56336841328E+00    7.92723972037E-05
  2.57067145719E+00    8.93529292431E-05
  2.57797450111E+00    1.00588008725E-04
  2.58527754502E+00    1.13080691196E-04
  2.59258058893E+00    1.26967759392E-04
  2.59988363284E+00    1.42369156731E-04
  2.60718667676E+00    1.59445796588E-04
  2.61448972067E+00    1.78336450413E-04
  2.62179276458E+00    1.99229490945E-04
  2.62909580849E+00    2.22284533493E-04
  2.63639885241E+00    2.47721046901E-04
  2.64370189632E+00    2.75721559403E-04
  2.65100494023E+00    3.06540590647E-04
  2.65830798414E+00    3.40385676767E-04
  2.66561102806E+00    3.77550669538E-04
  2.67291407197E+00    4.18270203172E-04
  2.68021711588E+00    4.62882076713E-04
  2.68752015979E+00    5.11650072664E-04
  2.69482320371E+00    5.64960892946E-04
  2.70212624762E+00    6.23109438254E-04
  2.70942929153E+00    6.86536616252E-04
  2.71673233544E+00    7.55570291259E-04
  2.72403537935E+00    8.30711231448E-04
  2.73133842327E+00    9.12321938141E-04
  2.73864146718E+00    1.00096905022E-03
  2.74594451109E+00    1.09705115529E-03
  2.75324755500E+00    1.20120713196E-03
  2.76055059892E+00    1.31387282195E-03
  2.76785364283E+00    1.43576607134E-03
  2.77515668674E+00    1.56736080184E-03
  2.78245973065E+00    1.70946091426E-03
  2.78976277457E+00    1.86257882304E-03
  2.79706581848E+00    2.02761192554E-03
  2.80436886239E+00    2.20511105835E-03
  2.81167190630E+00    2.39607489855E-03
  2.81897495022E+00    2.60109206857E-03
  2.82627799413E+00    2.82127063716E-03
  2.83358103804E+00    3.05723571640E-03
  2.84088408195E+00    3.31021318276E-03
  2.84818712587E+00    3.58086257586E-03
  2.85549016978E+00    3.87053626200E-03
  2.86279321369E+00    4.17992527315E-03
  2.87009625760E+00    4.51051736247E-03
  2.87739930152E+00    4.86303110203E-03
  2.88470234543E+00    5.23909866588E-03
  2.89200538934E+00    5.63946105200E-03
  2.89930843325E+00    6.06590395593E-03
  2.90661147717E+00    6.51918433337E-03
  2.91391452108E+00    7.00125038839E-03
  2.92121756499E+00    7.51286699197E-03
  2.92852060890E+00    8.05615366640E-03
  2.93582365282E+00    8.63187324314E-03
  2.94312669673E+00    9.24232469830E-03
  2.95042974064E+00    9.88825676742E-03
  2.95773278455E+00    1.05721549834E-02
  2.96503582847E+00    1.12947385654E-02
  2.97233887238E+00    1.20586848277E-02
  2.97964191629E+00    1.28646628768E-02
  2.98694496020E+00    1.37155407591E-02
  2.99424800412E+00    1.46118997034E-02
  3.00155104803E+00    1.55567150468E-02
  3.00885409194E+00    1.65503778654E-02
  3.01615713585E+00    1.75961119476E-02
  3.02346017977E+00    1.86942740108E-02
  3.03076322368E+00    1.98483223768E-02
  3.03806626759E+00    2.10584913650E-02
  3.04536931150E+00    2.23284710471E-02
  3.05267235542E+00    2.36583462118E-02
  3.05997539933E+00    2.50520446360E-02
  3.06727844324E+00    2.65094760681E-02
  3.07458148715E+00    2.80348133269E-02
  3.08188453107E+00    2.96277641024E-02
  3.08918757498E+00    3.12927549290E-02
  3.09649061889E+00    3.30292631606E-02
  3.10379366280E+00    3.48419774326E-02
  3.11109670672E+00    3.67301156857E-02
  3.11839975063E+00    3.86986376000E-02
  3.12570279454E+00    4.07464710857E-02
  3.13300583845E+00    4.28788560308E-02
  3.14030888237E+00    4.50943988193E-02
  3.14761192628E+00    4.73986291218E-02
  3.15491497019E+00    4.97897991980E-02
  3.16221801410E+00    5.22737384102E-02
  3.16952105802E+00    5.48483114278E-02
  3.17682410193E+00    5.75196577384E-02
  3.18412714584E+00    6.02852202741E-02
  3.19143018975E+00    6.31514594200E-02
  3.19873323367E+00    6.61153616471E-02
  3.20603627758E+00    6.91837195675E-02
  3.21333932149E+00    7.23530280577E-02
  3.22064236540E+00    7.56304238327E-02
  3.22794540932E+00    7.90118747566E-02
  3.23524845323E+00    8.25048740526E-02
  3.24255149714E+00    8.61048271197E-02
  3.24985454105E+00    8.98195967183E-02
  3.25715758497E+00    9.36439903494E-02
  3.26446062888E+00    9.75862539306E-02
  3.27176367279E+00    1.01640561993E-01
  3.27906671670E+00    1.05815557792E-01
  3.28636976062E+00    1.10104748177E-01
  3.29367280453E+00    1.14517188645E-01
  3.30097584844E+00    1.19045684215E-01
  3.30827889235E+00    1.23699718144E-01
  3.31558193627E+00    1.28471360312E-01
  3.32288498018E+00    1.33370537688E-01
  3.33018802409E+00    1.38388552706E-01
