 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    2.88757004311296     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.61092182488E-003        0.29675118251E+006        0.60442929560E+001        0.29674513821E+006        0.29675118398E+006        0.14734088953E-002
        0.62140956167E-003        0.28926296899E+006        0.59928438239E+001        0.28925697615E+006        0.28926297047E+006        0.14734096628E-002
        0.63198655579E-003        0.28202432296E+006        0.59422623666E+001        0.28201838070E+006        0.28202432444E+006        0.14734104362E-002
        0.64265280724E-003        0.27502493442E+006        0.58925267609E+001        0.27501904189E+006        0.27502493589E+006        0.14734112156E-002
        0.65340831603E-003        0.26825500027E+006        0.58436159092E+001        0.26824915665E+006        0.26825500174E+006        0.14734120009E-002
        0.66425308215E-003        0.26170519551E+006        0.57955094124E+001        0.26169940000E+006        0.26170519698E+006        0.14734127922E-002
        0.67518710561E-003        0.25536664624E+006        0.57481875383E+001        0.25536089805E+006        0.25536664771E+006        0.14734135893E-002
        0.68621038640E-003        0.24923090438E+006        0.57016311957E+001        0.24922520275E+006        0.24923090585E+006        0.14734143924E-002
        0.69732292452E-003        0.24328992407E+006        0.56558219094E+001        0.24328426825E+006        0.24328992554E+006        0.14734152013E-002
        0.70852471998E-003        0.23753603945E+006        0.56107417947E+001        0.23753042871E+006        0.23753604092E+006        0.14734160162E-002
        0.71981577277E-003        0.23196194391E+006        0.55663735336E+001        0.23195637754E+006        0.23196194539E+006        0.14734168369E-002
        0.73119608290E-003        0.22656067062E+006        0.55227003532E+001        0.22655514792E+006        0.22656067209E+006        0.14734176634E-002
        0.74266565037E-003        0.22132557419E+006        0.54797060039E+001        0.22132009449E+006        0.22132557567E+006        0.14734184957E-002
        0.75422447516E-003        0.21625031355E+006        0.54373747395E+001        0.21624487617E+006        0.21625031502E+006        0.14734193339E-002
        0.76587255729E-003        0.21132883576E+006        0.53956912977E+001        0.21132344007E+006        0.21132883723E+006        0.14734201778E-002
        0.77760989676E-003        0.20655536091E+006        0.53546408814E+001        0.20655000627E+006        0.20655536239E+006        0.14734210276E-002
        0.78943649356E-003        0.20192436782E+006        0.53142091420E+001        0.20191905361E+006        0.20192436929E+006        0.14734218831E-002
        0.80135234769E-003        0.19743058062E+006        0.52743821608E+001        0.19742530623E+006        0.19743058209E+006        0.14734227444E-002
        0.81335745916E-003        0.19306895616E+006        0.52351464345E+001        0.19306372101E+006        0.19306895763E+006        0.14734236113E-002
        0.82545182796E-003        0.18883467210E+006        0.51964888596E+001        0.18882947561E+006        0.18883467357E+006        0.14734244841E-002
        0.83763545410E-003        0.18472311572E+006        0.51583967170E+001        0.18471795733E+006        0.18472311720E+006        0.14734253625E-002
        0.84990833757E-003        0.18072987337E+006        0.51208576585E+001        0.18072475251E+006        0.18072987484E+006        0.14734262466E-002
