 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.00045714612893     
 #
 # screening length =  0.924612864249089     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.16212757486E+001        0.22929328049E+001       -0.29871173727E+001
        0.16285787925E+001        0.22712570957E+001       -0.29490936175E+001
        0.16358818364E+001        0.22498568492E+001       -0.29118179102E+001
        0.16431848803E+001        0.22287256266E+001       -0.28752775704E+001
        0.16504879242E+001        0.22078591160E+001       -0.28394595735E+001
        0.16577909681E+001        0.21872510869E+001       -0.28043505541E+001
        0.16650940120E+001        0.21668974051E+001       -0.27699368553E+001
        0.16723970560E+001        0.21467920568E+001       -0.27362046203E+001
        0.16797000999E+001        0.21269310929E+001       -0.27031399002E+001
        0.16870031438E+001        0.21073087206E+001       -0.26707287806E+001
        0.16943061877E+001        0.20879211772E+001       -0.26389574998E+001
        0.17016092316E+001        0.20687628875E+001       -0.26078125444E+001
        0.17089122755E+001        0.20498302696E+001       -0.25772807149E+001
        0.17162153194E+001        0.20311179575E+001       -0.25473491636E+001
        0.17235183633E+001        0.20126225410E+001       -0.25180053870E+001
        0.17308214073E+001        0.19943388525E+001       -0.24892371954E+001
        0.17381244512E+001        0.19762636443E+001       -0.24610326517E+001
        0.17454274951E+001        0.19583919384E+001       -0.24333800033E+001
        0.17527305390E+001        0.19407206437E+001       -0.24062676041E+001
        0.17600335829E+001        0.19232449674E+001       -0.23796838503E+001
        0.17673366268E+001        0.19059619729E+001       -0.23536171297E+001
        0.17746396707E+001        0.18888670517E+001       -0.23280557944E+001
        0.17819427146E+001        0.18719574230E+001       -0.23029881570E+001
        0.17892457586E+001        0.18552286632E+001       -0.22784025175E+001
        0.17965488025E+001        0.18386781482E+001       -0.22542872031E+001
        0.18038518464E+001        0.18223016390E+001       -0.22306306267E+001
        0.18111548903E+001        0.18060966668E+001       -0.22074213503E+001
        0.18184579342E+001        0.17900591735E+001       -0.21846481492E+001
        0.18257609781E+001        0.17741868408E+001       -0.21623000623E+001
        0.18330640220E+001        0.17584757838E+001       -0.21403664321E+001
        0.18403670659E+001        0.17429238269E+001       -0.21188369223E+001
        0.18476701099E+001        0.17275272491E+001       -0.20977015186E+001
        0.18549731538E+001        0.17122840082E+001       -0.20769505089E+001
        0.18622761977E+001        0.16971905379E+001       -0.20565744532E+001
        0.18695792416E+001        0.16822449213E+001       -0.20365641375E+001
        0.18768822855E+001        0.16674437390E+001       -0.20169105335E+001
        0.18841853294E+001        0.16527851939E+001       -0.19976047547E+001
        0.18914883733E+001        0.16382660084E+001       -0.19786380214E+001
        0.18987914172E+001        0.16238845016E+001       -0.19600016375E+001
        0.19060944612E+001        0.16096375349E+001       -0.19416869841E+001
        0.19133975051E+001        0.15955235415E+001       -0.19236855191E+001
        0.19207005490E+001        0.15815395192E+001       -0.19059887960E+001
        0.19280035929E+001        0.15676840131E+001       -0.18885884872E+001
        0.19353066368E+001        0.15539541539E+001       -0.18714764165E+001
        0.19426096807E+001        0.15403485951E+001       -0.18546445864E+001
        0.19499127246E+001        0.15268645952E+001       -0.18380852105E+001
        0.19572157685E+001        0.15135009105E+001       -0.18217907330E+001
        0.19645188125E+001        0.15002549206E+001       -0.18057538466E+001
        0.19718218564E+001        0.14871254780E+001       -0.17899674924E+001
        0.19791249003E+001        0.14741100758E+001       -0.17744248583E+001
        0.19864279442E+001        0.14612076557E+001       -0.17591193635E+001
        0.19937309881E+001        0.14484158174E+001       -0.17440446392E+001
        0.20010340320E+001        0.14357335851E+001       -0.17291945031E+001
        0.20083370759E+001        0.14231586590E+001       -0.17145629356E+001
        0.20156401198E+001        0.14106901413E+001       -0.17001440537E+001
        0.20229431638E+001        0.13983258280E+001       -0.16859320919E+001
        0.20302462077E+001        0.13860648959E+001       -0.16719213877E+001
        0.20375492516E+001        0.13739052331E+001       -0.16581063734E+001
        0.20448522955E+001        0.13618460883E+001       -0.16444815725E+001
        0.20521553394E+001        0.13498854391E+001       -0.16310416084E+001
        0.20594583833E+001        0.13380226032E+001       -0.16177812120E+001
        0.20667614272E+001        0.13262556446E+001       -0.16046952357E+001
        0.20740644711E+001        0.13145839471E+001       -0.15917786654E+001
        0.20813675151E+001        0.13030056568E+001       -0.15790266392E+001
        0.20886705590E+001        0.12915202195E+001       -0.15664344558E+001
        0.20959736029E+001        0.12801258591E+001       -0.15539975838E+001
        0.21032766468E+001        0.12688220787E+001       -0.15417116638E+001
        0.21105796907E+001        0.12576071745E+001       -0.15295725082E+001
        0.21178827346E+001        0.12464807023E+001       -0.15175760933E+001
        0.21251857785E+001        0.12354410255E+001       -0.15057185498E+001
        0.21324888224E+001        0.12244877480E+001       -0.14939961469E+001
        0.21397918664E+001        0.12136192961E+001       -0.14824052801E+001
        0.21470949103E+001        0.12028353180E+001       -0.14709424536E+001
        0.21543979542E+001        0.11921342993E+001       -0.14596042688E+001
        0.21617009981E+001        0.11815159297E+001       -0.14483874082E+001
        0.21690040420E+001        0.11709787513E+001       -0.14372886324E+001
        0.21763070859E+001        0.11605224933E+001       -0.14263047722E+001
        0.21836101298E+001        0.11501457517E+001       -0.14154327290E+001
        0.21909131737E+001        0.11398482933E+001       -0.14046694758E+001
        0.21982162177E+001        0.11296287662E+001       -0.13940120634E+001
        0.22055192616E+001        0.11194869725E+001       -0.13834576271E+001
        0.22128223055E+001        0.11094216095E+001       -0.13730033937E+001
        0.22201253494E+001        0.10994325126E+001       -0.13626466869E+001
        0.22274283933E+001        0.10895184256E+001       -0.13523849346E+001
        0.22347314372E+001        0.10796792140E+001       -0.13422156704E+001
        0.22420344811E+001        0.10699136649E+001       -0.13321365356E+001
        0.22493375250E+001        0.10602216712E+001       -0.13221452764E+001
        0.22566405690E+001        0.10506020598E+001       -0.13122397413E+001
        0.22639436129E+001        0.10410547483E+001       -0.13024178712E+001
        0.22712466568E+001        0.10315786005E+001       -0.12926776951E+001
        0.22785497007E+001        0.10221735557E+001       -0.12830173183E+001
        0.22858527446E+001        0.10128385125E+001       -0.12734349158E+001
        0.22931557885E+001        0.10035734300E+001       -0.12639287225E+001
        0.23004588324E+001        0.99437723915E+000       -0.12544970276E+001
        0.23077618763E+001        0.98524991757E+000       -0.12451381677E+001
        0.23150649203E+001        0.97619042706E+000       -0.12358505242E+001
        0.23223679642E+001        0.96719876232E+000       -0.12266325204E+001
        0.23296710081E+001        0.95827391462E+000       -0.12174826242E+001
        0.23369740520E+001        0.94941589469E+000       -0.12083993475E+001
        0.23442770959E+001        0.94062372185E+000       -0.11993812498E+001
        0.23515801398E+001        0.93189742161E+000       -0.11904269409E+001
        0.23588831837E+001        0.92323603980E+000       -0.11815350850E+001
        0.23661862276E+001        0.91463961528E+000       -0.11727044021E+001
        0.23734892716E+001        0.90610721869E+000       -0.11639336726E+001
        0.23807923155E+001        0.89763890068E+000       -0.11552217351E+001
        0.23880953594E+001        0.88923375479E+000       -0.11465674887E+001
        0.23953984033E+001        0.88089184187E+000       -0.11379698882E+001
        0.24027014472E+001        0.87261227657E+000       -0.11294279449E+001
        0.24100044911E+001        0.86439512839E+000       -0.11209407189E+001
        0.24173075350E+001        0.85623953147E+000       -0.11125073183E+001
        0.24246105789E+001        0.84814556261E+000       -0.11041268904E+001
        0.24319136229E+001        0.84011237407E+000       -0.10957986199E+001
        0.24392166668E+001        0.83214004895E+000       -0.10875217218E+001
        0.24465197107E+001        0.82422775655E+000       -0.10792954395E+001
        0.24538227546E+001        0.81637558551E+000       -0.10711190397E+001
        0.24611257985E+001        0.80858272127E+000       -0.10629918123E+001
        0.24684288424E+001        0.80084925748E+000       -0.10549130679E+001
        0.24757318863E+001        0.79317439498E+000       -0.10468821394E+001
        0.24830349302E+001        0.78555823186E+000       -0.10388983802E+001
        0.24903379742E+001        0.77799998366E+000       -0.10309611678E+001
        0.24976410181E+001        0.77049975236E+000       -0.10230699046E+001
        0.25049440620E+001        0.76305676739E+000       -0.10152240201E+001
        0.25122471059E+001        0.75567113395E+000       -0.10074229709E+001
        0.25195501498E+001        0.74834209449E+000       -0.99966624424E+000
        0.25268531937E+001        0.74106975664E+000       -0.99195335624E+000
        0.25341562376E+001        0.73385337492E+000       -0.98428385397E+000
        0.25414592815E+001        0.72669305865E+000       -0.97665731295E+000
        0.25487623255E+001        0.71958807344E+000       -0.96907333681E+000
        0.25560653694E+001        0.71253852953E+000       -0.96153155333E+000
        0.25633684133E+001        0.70554370279E+000       -0.95403161519E+000
        0.25706714572E+001        0.69860370377E+000       -0.94657319380E+000
        0.25779745011E+001        0.69171781786E+000       -0.93915597894E+000
        0.25852775450E+001        0.68488615545E+000       -0.93177967472E+000
        0.25925805889E+001        0.67810801091E+000       -0.92444399861E+000
        0.25998836328E+001        0.67138349415E+000       -0.91714867760E+000
        0.26071866768E+001        0.66471190810E+000       -0.90989344857E+000
        0.26144897207E+001        0.65809336196E+000       -0.90267805692E+000
        0.26217927646E+001        0.65152716689E+000       -0.89550225620E+000
        0.26290958085E+001        0.64501343123E+000       -0.88836580753E+000
        0.26363988524E+001        0.63855147406E+000       -0.88126848211E+000
        0.26437018963E+001        0.63214140266E+000       -0.87421005958E+000
        0.26510049402E+001        0.62578254368E+000       -0.86719033157E+000
        0.26583079841E+001        0.61947500314E+000       -0.86020909971E+000
        0.26656110281E+001        0.61321811486E+000       -0.85326617905E+000
        0.26729140720E+001        0.60701198333E+000       -0.84636139700E+000
        0.26802171159E+001        0.60085594909E+000       -0.83949459468E+000
        0.26875201598E+001        0.59475011477E+000       -0.83266562561E+000
        0.26948232037E+001        0.58869382720E+000       -0.82587435689E+000
        0.27021262476E+001        0.58268718683E+000       -0.81912066613E+000
        0.27094292915E+001        0.57672954637E+000       -0.81240444247E+000
        0.27167323354E+001        0.57082100386E+000       -0.80572558375E+000
        0.27240353794E+001        0.56496091748E+000       -0.79908399678E+000
        0.27313384233E+001        0.55914938266E+000       -0.79247959381E+000
        0.27386414672E+001        0.55338576282E+000       -0.78591229265E+000
        0.27459445111E+001        0.54767015067E+000       -0.77938201488E+000
        0.27532475550E+001        0.54200191466E+000       -0.77288868516E+000
        0.27605505989E+001        0.53638114475E+000       -0.76643222979E+000
        0.27678536428E+001        0.53080721428E+000       -0.76001257750E+000
        0.27751566867E+001        0.52528021047E+000       -0.75362965708E+000
        0.27824597307E+001        0.51979951147E+000       -0.74728340038E+000
        0.27897627746E+001        0.51436520174E+000       -0.74097373934E+000
        0.27970658185E+001        0.50897666413E+000       -0.73470060965E+000
        0.28043688624E+001        0.50363398039E+000       -0.72846394795E+000
