# atomic units
# Peak of g_ii(r) =   1.16
# Effective coupling: Gamma_ii=     7.9
#              r                  (g(i,j),j=i,nspecies, i=1,nspecies)
  1.14066590633E+00    3.50830475782E-14
  1.14432188680E+00    4.24105195407E-14
  1.14797786727E+00    5.10702591328E-14
  1.15163384774E+00    6.15063555642E-14
  1.15528982821E+00    7.39408534400E-14
  1.15894580868E+00    8.88178419700E-14
  1.16260178914E+00    1.06581410364E-13
  1.16625776961E+00    1.27675647832E-13
  1.16991375008E+00    1.52766688188E-13
  1.17356973055E+00    1.82520665248E-13
  1.17722571102E+00    2.17825757431E-13
  1.18088169149E+00    2.59681165460E-13
  1.18453767196E+00    3.09197112358E-13
  1.18819365243E+00    3.67816888058E-13
  1.19184963290E+00    4.36872760190E-13
  1.19550561337E+00    5.18363130197E-13
  1.19916159383E+00    6.14286399525E-13
  1.20281757430E+00    7.27085058827E-13
  1.20647355477E+00    8.59756710270E-13
  1.21012953524E+00    1.01540997832E-12
  1.21378551571E+00    1.19781962127E-12
  1.21744149618E+00    1.41164857581E-12
  1.22109747665E+00    1.66155977865E-12
  1.22475345712E+00    1.95377047874E-12
  1.22840943759E+00    2.29483099190E-12
  1.23206541806E+00    2.69262390162E-12
  1.23572139852E+00    3.15591996980E-12
  1.23937737899E+00    3.69515529286E-12
  1.24303335946E+00    4.32176516796E-12
  1.24668933993E+00    5.04973840521E-12
  1.25034532040E+00    5.89395199313E-12
  1.25400130087E+00    6.87261358934E-12
  1.25765728134E+00    8.00537414136E-12
  1.26131326181E+00    9.31599242193E-12
  1.26496924228E+00    1.08298925383E-11
  1.26862522275E+00    1.25779386906E-11
  1.27228120321E+00    1.45934375695E-11
  1.27593718368E+00    1.69161351593E-11
  1.27959316415E+00    1.95889970911E-11
  1.28324914462E+00    2.26635377132E-11
  1.28690512509E+00    2.61949351099E-11
  1.29056110556E+00    3.02494695958E-11
  1.29421708603E+00    3.48978623776E-11
  1.29787306650E+00    4.02251565390E-11
  1.30152904697E+00    4.63217242341E-11
  1.30518502744E+00    5.32960342525E-11
  1.30884100790E+00    6.12632167218E-11
  1.31249698837E+00    7.03614944086E-11
  1.31615296884E+00    8.07366395961E-11
  1.31980894931E+00    9.25641785443E-11
  1.32346492978E+00    1.06028408275E-10
  1.32712091025E+00    1.21351040328E-10
  1.33077689072E+00    1.38764555402E-10
  1.33443287119E+00    1.58548063567E-10
  1.33808885166E+00    1.80993664500E-10
  1.34174483213E+00    2.06452077656E-10
  1.34540081259E+00    2.35288566408E-10
  1.34905679306E+00    2.67942223964E-10
  1.35271277353E+00    3.04868907897E-10
  1.35636875400E+00    3.46616735314E-10
  1.36002473447E+00    3.93752364047E-10
  1.36368071494E+00    4.46957693079E-10
  1.36733669541E+00    5.06935382560E-10
  1.37099267588E+00    5.74531089370E-10
  1.37464865635E+00    6.50613229958E-10
  1.37830463682E+00    7.36227745435E-10
  1.38196061728E+00    8.32444224663E-10
  1.38561659775E+00    9.40552524753E-10
  1.38927257822E+00    1.06186648363E-09
  1.39292855869E+00    1.19797172182E-09
  1.39658453916E+00    1.35047739658E-09
  1.40024051963E+00    1.52132728637E-09
  1.40389650010E+00    1.71248626391E-09
  1.40755248057E+00    1.92633042850E-09
  1.41120846104E+00    2.16525242180E-09
  1.41486444151E+00    2.43214870466E-09
  1.41852042197E+00    2.72992417560E-09
  1.42217640244E+00    3.06210001799E-09
  1.42583238291E+00    3.43219341836E-09
  1.42948836338E+00    3.84447362833E-09
  1.43314434385E+00    4.30318713995E-09
  1.43680032432E+00    4.81349626824E-09
  1.44045630479E+00    5.38051447840E-09
