 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.35322408794477     
 #
 # screening length =   1.57153029298550     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.67635638677E+000        0.21844244427E+002       -0.40768049778E+002
        0.68001236724E+000        0.21695942758E+002       -0.40361355258E+002
        0.68366834770E+000        0.21549115846E+002       -0.39961275548E+002
        0.68732432817E+000        0.21403739714E+002       -0.39567643163E+002
        0.69098030864E+000        0.21259791191E+002       -0.39180295035E+002
        0.69463628911E+000        0.21117247494E+002       -0.38799072417E+002
        0.69829226958E+000        0.20976086611E+002       -0.38423820781E+002
        0.70194825005E+000        0.20836286891E+002       -0.38054389722E+002
        0.70560423052E+000        0.20697827419E+002       -0.37690632866E+002
        0.70926021099E+000        0.20560687618E+002       -0.37332407777E+002
        0.71291619146E+000        0.20424847612E+002       -0.36979575868E+002
        0.71657217193E+000        0.20290287838E+002       -0.36632002317E+002
        0.72022815239E+000        0.20156989406E+002       -0.36289555978E+002
        0.72388413286E+000        0.20024933714E+002       -0.35952109303E+002
        0.72754011333E+000        0.19894102802E+002       -0.35619538258E+002
        0.73119609380E+000        0.19764478976E+002       -0.35291722242E+002
        0.73485207427E+000        0.19636045157E+002       -0.34968544015E+002
        0.73850805474E+000        0.19508784511E+002       -0.34649889616E+002
        0.74216403521E+000        0.19382680790E+002       -0.34335648291E+002
        0.74582001568E+000        0.19257717972E+002       -0.34025712423E+002
        0.74947599615E+000        0.19133880593E+002       -0.33719977454E+002
        0.75313197662E+000        0.19011153399E+002       -0.33418341820E+002
        0.75678795708E+000        0.18889521666E+002       -0.33120706878E+002
        0.76044393755E+000        0.18768970862E+002       -0.32826976841E+002
        0.76409991802E+000        0.18649486964E+002       -0.32537058711E+002
        0.76775589849E+000        0.18531056121E+002       -0.32250862211E+002
        0.77141187896E+000        0.18413664968E+002       -0.31968299724E+002
        0.77506785943E+000        0.18297300297E+002       -0.31689286228E+002
        0.77872383990E+000        0.18181949364E+002       -0.31413739232E+002
        0.78237982037E+000        0.18067599563E+002       -0.31141578719E+002
        0.78603580084E+000        0.17954238735E+002       -0.30872727084E+002
        0.78969178131E+000        0.17841854845E+002       -0.30607109071E+002
        0.79334776177E+000        0.17730436280E+002       -0.30344651723E+002
        0.79700374224E+000        0.17619971541E+002       -0.30085284317E+002
        0.80065972271E+000        0.17510449532E+002       -0.29828938311E+002
        0.80431570318E+000        0.17401859255E+002       -0.29575547289E+002
        0.80797168365E+000        0.17294190098E+002       -0.29325046908E+002
        0.81162766412E+000        0.17187431537E+002       -0.29077374839E+002
        0.81528364459E+000        0.17081573413E+002       -0.28832470721E+002
        0.81893962506E+000        0.16976605645E+002       -0.28590276106E+002
        0.82259560553E+000        0.16872518500E+002       -0.28350734407E+002
        0.82625158600E+000        0.16769302311E+002       -0.28113790851E+002
        0.82990756646E+000        0.16666947747E+002       -0.27879392428E+002
        0.83356354693E+000        0.16565445528E+002       -0.27647487843E+002
        0.83721952740E+000        0.16464786697E+002       -0.27418027469E+002
        0.84087550787E+000        0.16364962338E+002       -0.27190963301E+002
        0.84453148834E+000        0.16265963844E+002       -0.26966248910E+002
