# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
11000 200
80 395 304 6.64864e+06 3.40198e+06 2.00972e+06
81 400 303 6.51636e+06 3.33876e+06 2.01043e+06
82 405 302 6.38551e+06 3.27654e+06 2.01166e+06
83 410 301 6.25613e+06 3.21536e+06 2.01341e+06
84 415 300 6.12829e+06 3.15522e+06 2.01569e+06
85 420 299 6.00203e+06 3.09615e+06 2.01848e+06
86 425 298 5.87741e+06 3.03816e+06 2.02178e+06
87 430 297 5.75446e+06 2.98127e+06 2.0256e+06
88 435 296 5.63322e+06 2.92549e+06 2.02992e+06
89 440 295 5.51374e+06 2.87084e+06 2.03474e+06
90 445 294 5.39605e+06 2.81732e+06 2.04005e+06
91 450 293 5.28017e+06 2.76494e+06 2.04585e+06
92 455 292 5.16612e+06 2.71369e+06 2.05214e+06
93 460 291 5.05394e+06 2.66359e+06 2.05891e+06
94 465 290 4.94362e+06 2.61462e+06 2.06613e+06
95 470 289 4.83521e+06 2.56678e+06 2.07382e+06
96 475 288 4.7287e+06 2.52007e+06 2.08195e+06
97 480 287 4.6241e+06 2.47448e+06 2.09051e+06
98 485 286 4.52143e+06 2.43001e+06 2.09949e+06
99 490 285 4.42068e+06 2.38664e+06 2.10888e+06
100 495 284 4.32183e+06 2.34434e+06 2.11866e+06
101 500 283 4.22489e+06 2.3031e+06 2.12882e+06
102 505 282 4.12983e+06 2.26291e+06 2.13934e+06
103 510 281 4.03666e+06 2.22374e+06 2.15021e+06
104 515 280 3.94533e+06 2.18556e+06 2.16141e+06
105 520 279 3.85583e+06 2.14836e+06 2.17292e+06
106 525 278 3.76814e+06 2.1121e+06 2.18474e+06
107 530 277 3.68223e+06 2.07676e+06 2.19683e+06
108 535 276 3.59807e+06 2.04229e+06 2.20918e+06
109 540 275 3.51561e+06 2.00868e+06 2.22177e+06
110 545 274 3.43481e+06 1.97589e+06 2.23457e+06
111 550 273 3.35564e+06 1.94386e+06 2.24757e+06
112 555 272 3.27803e+06 1.91258e+06 2.26073e+06
113 560 271 3.20197e+06 1.88199e+06 2.27405e+06
114 565 270 3.12737e+06 1.85206e+06 2.28751e+06
115 570 269 3.05419e+06 1.82274e+06 2.30106e+06
116 575 268 2.98238e+06 1.79398e+06 2.31471e+06
117 580 267 2.91187e+06 1.76574e+06 2.32842e+06
118 585 266 2.84261e+06 1.73798e+06 2.34217e+06
119 590 265 2.77452e+06 1.71064e+06 2.35592e+06
120 595 264 2.70756e+06 1.68367e+06 2.36965e+06
121 600 263 2.64165e+06 1.65701e+06 2.38335e+06
122 605 262 2.57671e+06 1.63062e+06 2.397e+06
123 610 261 2.51267e+06 1.60444e+06 2.41057e+06
124 615 260 2.44946e+06 1.57842e+06 2.42404e+06
125 620 259 2.387e+06 1.55248e+06 2.43738e+06
126 625 258 2.32521e+06 1.52659e+06 2.45055e+06
127 630 257 2.26401e+06 1.50068e+06 2.46354e+06
128 635 256 2.20334e+06 1.47471e+06 2.47632e+06
129 640 255 2.14311e+06 1.4486e+06 2.48887e+06
130 645 254 2.08323e+06 1.42229e+06 2.50116e+06
131 650 253 2.02362e+06 1.39573e+06 2.51317e+06
132 655 252 1.96419e+06 1.36887e+06 2.52486e+06
133 660 251 1.90487e+06 1.34164e+06 2.53623e+06
134 665 250 1.84556e+06 1.31397e+06 2.54725e+06
135 670 249 1.78617e+06 1.28582e+06 2.55791e+06
136 675 248 1.72663e+06 1.25712e+06 2.56816e+06
137 680 247 1.66685e+06 1.22783e+06 2.57799e+06
138 685 246 1.60675e+06 1.19786e+06 2.58738e+06
139 690 245 1.54623e+06 1.16717e+06 2.59631e+06
140 695 244 1.4852e+06 1.1357e+06 2.60477e+06
141 700 243 1.42357e+06 1.10339e+06 2.61275e+06
142 705 242 1.36128e+06 1.07018e+06 2.6202e+06
143 710 241 1.29822e+06 1.03603e+06 2.62713e+06
144 715 240 1.23431e+06 1.00089e+06 2.6335e+06
145 720 239 1.16947e+06 964686 2.63932e+06
146 725 238 1.10361e+06 927381 2.64458e+06
147 730 237 1.03664e+06 888921 2.64922e+06
148 735 236 968485 849245 2.65328e+06
149 740 235 899064 808328 2.65673e+06
150 745 234 828303 766120 2.65958e+06
151 750 233 756120 722574 2.66182e+06
152 755 232 682426 677658 2.66343e+06
153 760 231 607164 631335 2.66442e+06
154 765 230 530260 583569 2.66477e+06
155 770 229 451640 534325 2.66449e+06
156 775 228 371239 483568 2.66356e+06
157 780 227 288989 431258 2.66201e+06
158 785 226 204810 377365 2.65985e+06
159 790 225 118635 321858 2.65707e+06
160 795 224 30396.9 264725 2.65367e+06
161 800 223 -59943.8 205941 2.64965e+06
162 805 222 -152443 145499 2.64503e+06
163 810 221 -247161 83393.5 2.63984e+06
164 815 220 -344144 19602.2 2.63406e+06
165 820 219 -443453 -45886.4 2.62772e+06
166 825 218 -545125 -113085 2.62082e+06
167 830 217 -649211 -181998 2.61336e+06
168 835 216 -755760 -252613 2.60539e+06
169 840 215 -864813 -324922 2.59693e+06
170 845 214 -976407 -398921 2.58798e+06
171 850 213 -1.09057e+06 -474605 2.57857e+06
172 855 212 -1.20734e+06 -551967 2.56872e+06
173 860 211 -1.32675e+06 -630995 2.55846e+06
174 865 210 -1.44881e+06 -711658 2.54782e+06
175 870 209 -1.57354e+06 -793939 2.53681e+06
176 875 208 -1.70097e+06 -877811 2.52546e+06
177 880 207 -1.8311e+06 -963257 2.51381e+06
178 885 206 -1.96394e+06 -1.05024e+06 2.50187e+06
179 890 205 -2.09952e+06 -1.13873e+06 2.48968e+06
180 895 204 -2.23784e+06 -1.22867e+06 2.47727e+06
181 900 203 -2.37889e+06 -1.32004e+06 2.46467e+06
182 905 202 -2.52269e+06 -1.41279e+06 2.45192e+06
183 910 201 -2.66921e+06 -1.50686e+06 2.43902e+06
184 915 200 -2.81846e+06 -1.60222e+06 2.42601e+06
185 920 199 -2.97043e+06 -1.69879e+06 2.41294e+06
186 925 198 -3.1251e+06 -1.79655e+06 2.39984e+06
187 930 197 -3.28245e+06 -1.89544e+06 2.38676e+06
188 935 196 -3.44246e+06 -1.99539e+06 2.3737e+06
189 940 195 -3.60513e+06 -2.09635e+06 2.36072e+06
190 945 194 -3.77041e+06 -2.19823e+06 2.34786e+06
191 950 193 -3.93825e+06 -2.30099e+06 2.33514e+06
192 955 192 -4.10863e+06 -2.40455e+06 2.32258e+06
193 960 191 -4.28152e+06 -2.50885e+06 2.31022e+06
194 965 190 -4.45688e+06 -2.6138e+06 2.29809e+06
195 970 189 -4.63464e+06 -2.71933e+06 2.28624e+06
196 975 188 -4.81477e+06 -2.82538e+06 2.27467e+06
197 980 187 -4.99722e+06 -2.93187e+06 2.26342e+06
198 985 186 -5.18195e+06 -3.03871e+06 2.25253e+06
199 990 185 -5.36887e+06 -3.14583e+06 2.24203e+06
200 995 184 -5.55794e+06 -3.25315e+06 2.23194e+06
13000 200
1 0 583 1.20902e+07 5.14678e+06 1.39156e+07
2 5 582 1.20875e+07 5.15422e+06 1.38696e+07
3 10 581 1.20816e+07 5.15999e+06 1.3822e+07
4 15 580 1.20725e+07 5.16406e+06 1.37729e+07
5 20 579 1.20602e+07 5.16644e+06 1.37223e+07
6 25 578 1.20448e+07 5.16712e+06 1.36702e+07
7 30 577 1.20263e+07 5.16611e+06 1.36167e+07
8 35 576 1.20047e+07 5.1634e+06 1.35618e+07
9 40 575 1.198e+07 5.15901e+06 1.35055e+07
10 45 574 1.19522e+07 5.15294e+06 1.34478e+07
11 50 573 1.19214e+07 5.14519e+06 1.33889e+07
12 55 572 1.18876e+07 5.13578e+06 1.33286e+07
13 60 571 1.18508e+07 5.12471e+06 1.32671e+07
14 65 570 1.18111e+07 5.11199e+06 1.32044e+07
15 70 569 1.17685e+07 5.09765e+06 1.31404e+07
16 75 568 1.17231e+07 5.08169e+06 1.30753e+07
17 80 567 1.16748e+07 5.06414e+06 1.30091e+07
18 85 566 1.16237e+07 5.045e+06 1.29418e+07
19 90 565 1.15699e+07 5.02431e+06 1.28735e+07
