# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10400 100
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0 0
19 1.95795 0.00929091 0.002854
20 2.06379 0.0592124 0.023062
21 2.16963 0.213149 0.103456
22 2.27546 0.599086 0.351993
23 2.3813 1.0986 0.851135
24 2.48713 1.66997 1.6788
25 2.59297 2.08023 2.7994
26 2.6988 2.17446 4.06832
27 2.80464 2.10953 5.39779
28 2.91047 1.87196 6.66823
29 3.01631 1.58889 7.82641
30 3.12214 1.33462 8.8687
31 3.22798 1.12967 9.81175
32 3.33382 0.938241 10.6472
33 3.43965 0.806637 11.4118
34 3.54549 0.714872 12.1317
35 3.65132 0.669693 12.847
36 3.75716 0.639201 13.5699
37 3.86299 0.638102 14.3328
38 3.96883 0.655488 15.16
39 4.07466 0.686799 16.0735
40 4.1805 0.724552 17.0879
41 4.28633 0.776768 18.2313
42 4.39217 0.863228 19.5654
43 4.498 0.938382 21.0863
44 4.60384 0.999044 22.7827
45 4.70968 1.08205 24.7055
46 4.81551 1.15922 26.8591
47 4.92135 1.2003 29.188
48 5.02718 1.24028 31.6991
49 5.13302 1.24066 34.3179
50 5.23885 1.22993 37.0222
51 5.34469 1.18395 39.7316
52 5.45052 1.12813 42.4166
53 5.55636 1.08137 45.0911
54 5.66219 1.02363 47.7203
55 5.76803 0.986561 50.3498
56 5.87386 0.933353 52.9296
57 5.9797 0.902963 55.5162
58 6.08554 0.873896 58.1089
59 6.19137 0.872965 60.7897
60 6.29721 0.872921 63.5628
61 6.40304 0.876673 66.4422
62 6.50888 0.899691 69.4957
63 6.61471 0.916425 72.708
64 6.72055 0.936182 76.0954
65 6.82638 0.983056 79.7652
66 6.93222 1.01245 83.6629
67 7.03805 1.03396 87.766
68 7.14389 1.04806 92.0509
69 7.24972 1.07194 96.5644
70 7.35556 1.07533 101.225
71 7.4614 1.07451 106.018
72 7.56723 1.08186 110.98
73 7.67307 1.07151 116.034
74 7.7789 1.05462 121.147
75 7.88474 1.03861 126.319
76 7.99057 1.01216 131.497
77 8.09641 1.00155 136.756
78 8.20224 0.976802 142.021
79 8.30808 0.964557 147.354
80 8.41391 0.960459 152.801
81 8.51975 0.953839 158.348
82 8.62559 0.950173 164.011
83 8.73142 0.94666 169.793
84 8.83726 0.960029 175.799
85 8.94309 0.967559 181.999
86 9.04893 0.973891 188.387
87 9.15476 0.988874 195.026
88 9.2606 0.998075 201.883
89 9.36643 1.01048 208.985
90 9.47227 1.02136 216.326
91 9.5781 1.02501 223.86
92 9.68394 1.0319 231.612
93 9.78977 1.03393 239.55
94 9.89561 1.03385 247.66
95 10.0014 1.02492 255.873
96 10.1073 1.02089 264.228
97 10.2131 1.01608 272.719
98 10.319 1.00846 281.321
99 10.4248 1.00099 290.036
100 10.5306 0.991635 298.845
11800 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0.000422005 0.000116
19 1.95795 0.00912489 0.002919
20 2.06379 0.0527368 0.020917
21 2.16963 0.219019 0.103525
22 2.27546 0.5796 0.343978
23 2.3813 1.10843 0.847585
24 2.48713 1.65034 1.66552
25 2.59297 2.08914 2.79092
26 2.6988 2.2067 4.07866
27 2.80464 2.12224 5.41613
28 2.91047 1.88514 6.69552
29 3.01631 1.57775 7.84557
30 3.12214 1.31634 8.87359
31 3.22798 1.1155 9.80482
32 3.33382 0.93444 10.6369
33 3.43965 0.81396 11.4084
34 3.54549 0.725031 12.1386
35 3.65132 0.661414 12.845
36 3.75716 0.643142 13.5724
37 3.86299 0.637841 14.3349
38 3.96883 0.65367 15.1598
39 4.07466 0.684098 16.0698
40 4.1805 0.722988 17.082
41 4.28633 0.78103 18.2316
42 4.39217 0.847618 19.5416
43 4.498 0.93213 21.0524
44 4.60384 1.01797 22.781
45 4.70968 1.08491 24.7089
46 4.81551 1.15925 26.8624
47 4.92135 1.21117 29.2125
48 5.02718 1.23282 31.7085
49 5.13302 1.23723 34.3201
50 5.23885 1.22061 37.0038
51 5.34469 1.19095 39.7293
52 5.45052 1.13416 42.4286
53 5.55636 1.08818 45.12
54 5.66219 1.03114 47.7684
55 5.76803 0.975022 50.3671
56 5.87386 0.925787 52.9261
57 5.9797 0.897805 55.4979
58 6.08554 0.878911 58.1054
59 6.19137 0.873102 60.7867
60 6.29721 0.869273 63.5482
61 6.40304 0.879811 66.4379
62 6.50888 0.89259 69.4673
63 6.61471 0.919967 72.692
64 6.72055 0.945787 76.1141
65 6.82638 0.973291 79.7476
66 6.93222 1.00612 83.6209
67 7.03805 1.0362 87.7328
68 7.14389 1.05562 92.0487
69 7.24972 1.06918 96.5505
70 7.35556 1.08054 101.234
71 7.4614 1.08371 106.067
72 7.56723 1.08121 111.027
73 7.67307 1.06392 116.045
74 7.7789 1.05011 121.136
75 7.88474 1.03365 126.284
76 7.99057 1.01926 131.497
77 8.09641 0.99728 136.734
78 8.20224 0.981373 142.024
79 8.30808 0.966134 147.366
80 8.41391 0.956877 152.793
81 8.51975 0.959059 158.37
82 8.62559 0.951663 164.042
83 8.73142 0.949132 169.839
84 8.83726 0.955231 175.815
85 8.94309 0.955965 181.94
86 9.04893 0.977159 188.35
87 9.15476 0.98587 194.969
88 9.2606 1.00272 201.858
89 9.36643 1.01355 208.981
90 9.47227 1.0208 216.318
91 9.5781 1.02106 223.822
92 9.68394 1.03727 231.615
93 9.78977 1.03497 239.561
94 9.89561 1.03521 247.682
95 10.0014 1.02959 255.933
96 10.1073 1.0187 264.269
97 10.2131 1.01287 272.733
98 10.319 1.0106 281.354
99 10.4248 0.997784 290.041
100 10.5306 0.990033 298.836
12000 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0.000378349 0.000104
19 1.95795 0.0117422 0.003711
20 2.06379 0.0549314 0.022458
21 2.16963 0.212367 0.102557
22 2.27546 0.570359 0.339176
23 2.3813 1.11008 0.843533
24 2.48713 1.68159 1.67696
25 2.59297 2.06781 2.79087
26 2.6988 2.19943 4.07436
27 2.80464 2.11159 5.40511
28 2.91047 1.8872 6.6859
29 3.01631 1.60292 7.8543
30 3.12214 1.32585 8.88975
31 3.22798 1.0942 9.8032
32 3.33382 0.933953 10.6348
33 3.43965 0.820571 11.4126
34 3.54549 0.71969 12.1374
35 3.65132 0.673398 12.8567
36 3.75716 0.637778 13.5779
37 3.86299 0.635008 14.3371
38 3.96883 0.649564 15.1568
39 4.07466 0.678874 16.0598
40 4.1805 0.723023 17.0721
41 4.28633 0.78683 18.2303
42 4.39217 0.851192 19.5458
43 4.498 0.919853 21.0367
44 4.60384 1.0196 22.768
45 4.70968 1.09304 24.7103
46 4.81551 1.15872 26.8629
47 4.92135 1.20287 29.1969
48 5.02718 1.24281 31.7131
49 5.13302 1.24374 34.3384
50 5.23885 1.22823 37.0389
51 5.34469 1.17753 39.7337
52 5.45052 1.13765 42.4412
53 5.55636 1.08391 45.1221
54 5.66219 1.03576 47.7823
55 5.76803 0.966651 50.3588
56 5.87386 0.928188 52.9243
57 5.9797 0.905316 55.5176
58 6.08554 0.874595 58.1124
59 6.19137 0.86797 60.7779
60 6.29721 0.864416 63.524
61 6.40304 0.875843 66.4007
62 6.50888 0.894677 69.4372
63 6.61471 0.929376 72.6948
64 6.72055 0.947786 76.1242
65 6.82638 0.975364 79.7654
66 6.93222 1.00137 83.6204
67 7.03805 1.02977 87.7068
68 7.14389 1.05626 92.0253
69 7.24972 1.07131 96.5361
70 7.35556 1.08508 101.239
71 7.4614 1.08753 106.09
72 7.56723 1.07719 111.031
73 7.67307 1.06849 116.071
74 7.7789 1.051 121.166
75 7.88474 1.02655 126.278
